"week","day","techno","ecart_type","moyenne"
50,1,"solaire",206.376270169852,372.214285714286
50,1,"fil_eau",1406.98992240945,4061.25892857143
50,1,"lac",947.764902032044,1774.53869047619
50,1,"cogeneration",243.700532856992,3659.12202380952
50,1,"nucleaire",5205.64062933595,48335.806547619
50,2,"consommation",2359.97294044612,67056.4255952381
50,2,"eolien",3727.34375863559,4991.03571428572
50,2,"solaire",160.486716178552,385.151785714286
50,2,"fil_eau",1000.1702653391,4528.72619047619
50,2,"lac",525.806292422527,2867.21130952381
50,2,"cogeneration",241.501258861275,3738.51488095238
50,2,"nucleaire",5393.31535089945,50198.1666666667
50,3,"consommation",2840.32871687182,70350.6577380952
50,3,"eolien",1756.02552738842,2809.94047619048
50,3,"solaire",194.565657920993,533.735119047619
50,3,"fil_eau",1110.95044286026,4575.03869047619
50,3,"lac",454.434096963432,3705.27678571429
50,3,"cogeneration",299.415844375227,3803.58035714286
50,3,"nucleaire",5484.93964718134,50500.9404761905
50,4,"consommation",3217.15299971736,70959.8214285714
50,4,"eolien",2459.83307846966,3859.01785714286
50,4,"solaire",162.174642870004,402.732142857143
50,4,"fil_eau",1096.39437617137,4608.77380952381
50,4,"lac",956.892443051697,3880.14583333333
50,4,"cogeneration",288.50267858765,3871.02976190476
50,4,"nucleaire",4221.85725583138,50681.2648809524
50,5,"consommation",2005.68396375677,71247.1041666667
50,5,"eolien",2570.89206079535,5397.88392857143
50,5,"solaire",160.827598153152,388.241071428572
50,5,"fil_eau",1053.95408531635,4782.82142857143
50,5,"lac",988.793766840818,3817.33630952381
50,5,"cogeneration",282.959269371665,3877.95535714286
50,5,"nucleaire",4924.44271506155,51125.0476190476
50,6,"consommation",3193.36746807321,69911.0089285714
50,6,"eolien",3442.21519158548,5403.4255952381
50,6,"solaire",116.563488247084,395.267857142857
50,6,"fil_eau",1206.61549759484,4823.59226190476
50,6,"lac",828.501697155763,3350.84226190476
50,6,"cogeneration",285.079601434873,3823.15178571429
50,6,"nucleaire",5593.12926750654,50486.2291666667
50,7,"consommation",4878.24480935027,64055.568452381
50,7,"eolien",3104.08164764524,4328.42261904762
50,7,"solaire",165.66644690799,440.723214285714
50,7,"fil_eau",1203.97845575428,4194.11904761905
50,7,"lac",765.194862488873,2206.74702380952
50,7,"cogeneration",284.666996362049,3756.56547619048
50,7,"nucleaire",4578.53982129819,49626.3482142857
51,1,"consommation",6028.33959725483,59301.5386904762
51,1,"eolien",3220.9853306285,4049.61607142857
51,1,"solaire",133.635317974524,374.97619047619
